title,country,mbfc_page,bias_raw,Factual,Ideology,url
The Blue Route,USA,left,left4,MostlyFactual,L,http://theblueroute.org/
The Burning Spear,,left,left7,High,L,http://www.theburningspear.com/
The Climate Reality Project,,left,left12,,L,https://www.climaterealityproject.org/
Daily 49er,USA,left,left11,High,L,http://www.daily49er.com/
The Canary (UK),UK,left,left7,High,L,https://www.thecanary.co/
The Daily Buzz,USA,left,left11,Mixed,L,https://the-daily.buzz/
The Daily Banter,USA,left,left2,Mixed,L,https://thedailybanter.com/
The Daily Vox,South Africa,left,left9,,L,https://www.thedailyvox.co.za/
The Democratic Hub,,left,left2,,L,http://www.democratichub.com/
The Dodo,USA,left,left4,,L,https://www.thedodo.com
The Dworkin Report,USA,left,left2,,L,https://dworkinreport.com
The Florida Squeeze,,left,left9,,L,https://thefloridasqueeze.com/
The Fucking News,,left,left7,,L,thefingnews.com
The Frisky,,left,left10,,L,http://www.thefrisky.com/
TheImproper Magazine,,left,left5,,L,https://www.theimproper.com
The Ghion Journal,USA,left,left2,,L,https://ghionjournal.com
The Indypendent,USA,left,left7,,L,https://indypendent.org
The Intellectualist,USA,left,left6,Mixed,L,https://mavenroundtable.io/theintellectualist/
The Lily,,left,left12,,L,https://www.thelily.com/
The Mary Sue,USA,left,left9,,L,https://www.themarysue.com
The London Economic,UK,left,left2,,L,https://www.thelondoneconomic.com
The Militant,,left,left11,,L,http://www.themilitant.com/
The Monthly (Australia),Australia,left,left8,High,L,https://www.themonthly.com.au/
The Morning Star,UK,left,left2,,L,https://morningstaronline.co.uk/
The Nation,USA,left,left8,High,L,https://www.thenation.com/
The National Memo,USA,left,left8,,L,https://www.nationalmemo.com/
The Outline,,left,left11,,L,https://theoutline.com/
The New Civil Rights Movement,USA,left,left3,,L,https://www.thenewcivilrightsmovement.com/
The Progressive Frontier,USA,left,left1,,L,https://progressivefrontier.com
The Reality Based Community,,left,left9,,L,http://www.samefacts.com/
The Palestine Chronicle,USA,left,left7,,L,https://www.palestinechronicle.com
The Progressive,USA,left,left6,,L,https://progressive.org/
The Root,USA,left,left8,High,L,https://www.theroot.com/
The Source Newspaper (La Source),,left,left6,,L,http://thelasource.com/en/
The Stern Facts,,left,left3,,L,https://thesternfacts.com/
The Village Voice,,left,left11,,L,http://www.villagevoice.com/
The Texas Observer,USA,left,left10,,L,https://www.texasobserver.org
The Walrus,Canada,left,left7,,L,https://thewalrus.ca/
The World Can’t Wait,,left,left6,,L,https://worldcantwait.net/
The Week (USA),USA,left,left9,High,L,https://theweek.com/
TheGrio,USA,left,left5,MostlyFactual,L,https://thegrio.com/
TheosWatch.com,,left,left1,,L,http://theoswatch.com
Them.us,United States,left,left7,,L,https://www.them.us/
Think Progress,USA,left,left4,,L,https://thinkprogress.org/
TreeHugger,USA,left,left7,High,L,https://www.treehugger.com/
